business_id,name,categories,stars,review_count,address,city,state,latitude,longitude
MTSW4McQd7CbVtyjqoe9mw,St Honore Pastries,"Restaurants, Food, Bubble Tea, Coffee & Tea, Bakeries",4.0,80,935 Race St,Philadelphia,PA,39.9555052,-75.1555641
mWMc6_wTdE0EUBKIGXDVfA,Perkiomen Valley Brewery,"Brewpubs, Breweries, Food",4.5,13,101 Walnut St,Green Lane,PA,40.3381827,-75.4716585
CF33F8-E6oudUQ46HnavjQ,Sonic Drive-In,"Burgers, Fast Food, Sandwiches, Food, Ice Cream & Frozen Yogurt, Restaurants",2.0,6,615 S Main St,Ashland City,TN,36.269593,-87.058943
k0hlBqXX-Bt0vf1op7Jr1w,Tsevi's Pub And Grill,"Pubs, Restaurants, Italian, Bars, American (Traditional), Nightlife, Greek",3.0,19,8025 Mackenzie Rd,Affton,MO,38.5651648,-90.3210868
0bPLkL0QhhPO5kt1_EXmNQ,Zio's Italian Market,"Food, Delis, Italian, Bakeries, Restaurants",4.5,100,2575 E Bay Dr,Largo,FL,27.9161159,-82.7604608
MUTTqe8uqyMdBl186RmNeA,Tuna Bar,"Sushi Bars, Restaurants, Japanese",4.0,245,205 Race St,Philadelphia,PA,39.953949,-75.1432262
ROeacJQwBeh05Rqg7F6TCg,BAP,"Korean, Restaurants",4.5,205,1224 South St,Philadelphia,PA,39.943223,-75.162568
WKMJwqnfZKsAae75RMP6jA,Roast Coffeehouse and Wine Bar,"Coffee & Tea, Food, Cafes, Bars, Wine Bars, Restaurants, Nightlife",4.0,40,10359 104 Street NW,Edmonton,AB,53.5460453,-113.4991693
kfNv-JZpuN6TVNSO6hHdkw,Hibachi Express,"Steakhouses, Asian Fusion, Restaurants",4.0,20,6625 E 82nd St,Indianapolis,IN,39.9043203184,-86.0530799
9OG5YkX1g2GReZM0AskizA,Romano's Macaroni Grill,"Restaurants, Italian",2.5,339,5505 S Virginia St,Reno,NV,39.4761165,-119.7893392
4iRzR7OaS-QaSXuvYxEGKA,Super Dog,"Hot Dogs, Restaurants",4.0,6,1160 Gallatin Pike S,Nashville,TN,36.2485696,-86.7199857
tMkwHmWFUEXrC9ZduonpTg,The Green Pheasant,"Restaurants, Japanese, Seafood",4.0,161,215 1st Ave S,Nashville,TN,36.1598858,-86.7731974
QdN72BWoyFypdGJhhI5r7g,Bar One,"Cocktail Bars, Bars, Italian, Nightlife, Restaurants",4.0,65,767 S 9th St,Philadelphia,PA,39.9398245705,-75.1574465632
Mjboz24M9NlBeiOJKLEd_Q,DeSandro on Main,"Pizza, Restaurants, Salad, Soup",3.0,41,4105 Main St,Philadelphia,PA,40.0224662,-75.218314
kV_Q1oqis8Qli8dUoGpTyQ,Ardmore Pizza,"Pizza, Restaurants",3.5,109,10 Rittenhouse Pl,Ardmore,PA,40.0067071,-75.289671
aPNXGTDkf-4bjhyMBQxqpQ,Craft Hall,"Eatertainment, Arts & Entertainment, Brewpubs, American (Traditional), Bakeries, Breweries, Food, Restaurants",3.5,65,901 N Delaware Ave,Philadelphia,PA,39.9625821,-75.1356571
ljxNT9p0y7YMPx0fcNBGig,Tony's Restaurant & 3rd Street Cafe,"Restaurants, Specialty Food, Steakhouses, Food, Italian, Pizza, Pasta Shops",3.0,94,312 Piasa St,Alton,IL,38.896563,-90.1862032987
JX4tUpd09YFchLBuI43lGw,Naked Cyber Cafe & Espresso Bar,"Arts & Entertainment, Music Venues, Internet Service Providers, Nightlife, Food, Coffee & Tea, Jazz & Blues, Professional Services, Internet Cafes",4.0,12,10303  108 Street NW,Edmonton,AB,53.5446819,-113.506589
lk9IwjZXqUMqqOhM774DtQ,Caviar & Bananas,"Coffee & Tea, Restaurants, Wine Bars, Bars, Nightlife, American (Traditional), Event Planning & Services, Food, Caterers, Breakfast & Brunch, Cafes, Diners",3.5,159,2031 Broadway,Nashville,TN,36.1483712,-86.7988947
5BmQX4UVJY19mMtafMg7JA,Breadland Organic Whole Grain Bakery,"Specialty Food, Bakeries, Food, Health Markets",4.0,23,"11642 104 Avenue, Unit 642",Edmonton,AB,53.547205,-113.522448
cVBxfMC4lp3DnocjYA3FHQ,Paws The Cat Cafe,"Coffee & Tea, Cafes, Pets, Restaurants, Pet Adoption, Food",5.0,20,10588 109 Street,Edmonton,AB,53.5496333,-113.5087799
